artist,couplet,song,url
Drake,(Memphis Tennessee Whats Goin On)<br>Cuz You Never Know How People Stick Around,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Gotta Be Special<br>A Girl I Can Love That Sees Nothing Wrong With Getting Used To Me,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,Yea My Name Aint Change But I'm Far From The Man That I Used To Be<br>Vo And D-R-A-K-E,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,We Them Boys That You Came To See (So Get Busy Ya)<br>Yep We Take It To The Same Degree,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,"So Let Loose Since You Came With Me (Get Busy Ya)<br>Vo, D-R-A-K-E",special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,We Them Boys Came To See (Get Busy Ya)<br>Ya We Take It To The Same Degree,special,http://www.azlyrics.com/lyrics/drake/special.html
Drake,"So Let Loose Cuz You Came (Get Busy Ya)Stance on lean, leg up on the wall<br>My people they chill, why you haters wanna ball",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"I'm satisfied with a little, why you haters want it all<br>You waiting for the Spring, and I'm gettin it in the fall",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"But uh, do what you do what you, I do what I do<br>Do's what you do, I do what I do",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Getting down tonight if they say you cuttin'<br>A lot of rappers in my city, they ain't saying nothin'",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,A lot of records from here they get no play<br>And these labels don't give advances so you get no pay,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Them little rims on the ride, I'mma let those stay<br>So these nosy niggas won't know that I get checks all day",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"'Whats he worth?' Fans keep trying on guessing<br>My record ain't even finish, they keep trying to press it",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,Boi-1da and Drake if there's beef I address it<br>And the black Phantom is here soon as we find our exit,dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
Drake,"Both of the deals, nothing under a mill<br>We know you got it to give and we trying to collect it",dowhatyoudo,http://www.azlyrics.com/lyrics/drake/dowhatyoudo.html
